מחיר,רחוב,אזור,חדרים,קומה,מטר
10130,"דרך מנחם בגין  158,","תנובה, תל אביב יפו",3,29,90
8800,יהודה הלוי,"מחנה רבין הקריה, תל אביב-יפו",3,2,100
8480,"הרוגי מלכות  5,","ישגב, תל אביב-יפו",2,1,50
4900,"מטלון  60,","נווה שאנן, תל אביב יפו",2,2,50
4800,"איתיאל  24,","התקווה, תל אביב-יפו",2,1,50
15500,"אחד העם  43,","לב תל אביב החלק הדרומי ודרום מזרח למגדל שלום, תל אביב-יפו",5,2,136
10000,"ליאונרדו דה וינצ'י  14,","מחנה רבין הקריה, תל אביב-יפו",2,25,70
3500,"יצחק שדה  34,","הרכבת, תל אביב-יפו",1,1,33
10900,שינקין,"אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",3,3,75
10500,"פנקס  76,","הצפון החדש סביבת כיכר המדינה, תל אביב יפו",4,10,108
14000,חכמי קירואן,"הצפון החדש החלק הדרומי, תל אביב-יפו",3,2,85
7700,"בני אפרים  280,","תל ברוך צפון, תל אביב יפו",2,3,75
10000,יום טוב,"כרם התימנים, תל אביב-יפו",2.5,2,70
8100,שילה,"הצפון החדש החלק הדרומי, תל אביב-יפו",2,ק׳,47
8320,"רמב""ם  24,","אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",2,4,50
9600,"החלוצים  28,","פלורנטין, תל אביב-יפו",3,ק׳,75
6370,"החלוצים  28,","פלורנטין, תל אביב-יפו",1,5,25
13200,"מוהליבר  31,","אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",3,3,86
12880,"טרומפלדור  20,","לב תל אביב החלק הצפוני, תל אביב-יפו",3,2,81
15000,המלך ג'ורג',"לב תל אביב החלק הצפוני, תל אביב-יפו",5,5,200
6000,"חיים ויטאל  1,","פלורנטין, תל אביב יפו",1,2,50
7200,"פלורנטין  33,","פלורנטין, תל אביב-יפו",2,2,46
30000,ניסים אלוני,"צמרות איילון, תל אביב יפו",3.5,18,150
22000,"שאול אביגור  9,",תל אביב-יפו,6,5,234
3700,"מוזס יהודה ונח  4,","תנובה, תל אביב-יפו",2,3,40
3300,"אלנבי  70,","אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",1,2,22
6700,הרצל,"גבעת הרצל, תל אביב יפו",3,1,68
7800,פינסקר,"הצפון הישן החלק הדרומי, תל אביב-יפו",3,3,67
9000,בן יהודה,"הצפון הישן החלק הדרומי, תל אביב יפו",5.5,1,110
5500,ג'ורג' אליוט,"אזור בית שטראוס וצפונית למגדל שלום, תל אביב-יפו",1,ק׳,50
12500,"הגוש הגדול, רמת אביב החדשה, נופי ים","דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",,,
32000,הצפון החדש - צפון,"בית פרטי/ קוטג', הצפון החדש - צפון, תל אביב יפו",,,
5000,בן אביגדור 2,"דירה, מונטיפיורי, הרכבת, תל אביב יפו",,,
8000,החרמש 5,"דירה, קרית שלום, תל אביב יפו",,,
5500,שדרות הר ציון 1,"דירה, נווה שאנן, תל אביב יפו",,,
2100,בושם 64,"דירה, לבנה, תל אביב יפו",,,
2670,נחום סוקולוב 20,"דירה, הצפון הישן - צפון, תל אביב יפו",,,
8500,יבנאל 25,"דירת גן, נווה צדק, תל אביב יפו",,,
3500,דרך מנחם בגין 19,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",,,
11900,בן יהודה 175,"דופלקס, הצפון הישן - צפון, תל אביב יפו",,,
6500,הרב אלנקווה 78,"דירה, נווה ברבור, כפר שלם מערב, תל אביב יפו",,,
5500,שדרות ששת הימים 17,"דירה, נווה אליעזר וכפר שלם מזרח, תל אביב יפו",,,
10500,גרציאני יצחק 4,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",,,
800,צייטלין 35,"חניה, הצפון החדש - דרום, תל אביב יפו",,,
3500,מרדכי אנילביץ' 11,"דירה, יד אליהו, תל אביב יפו",,,
12000,פרוג 32,"דירת גן, הצפון הישן - דרום, תל אביב יפו",,,
3400,חובבי ציון 27,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",,,
16000,פרישמן 20,"דופלקס, הצפון הישן - דרום, תל אביב יפו",,,
6800,חיים חבשוש 5,"דופלקס, כרם התימנים, תל אביב יפו",,,
8300,שדרות הר ציון 1,"גג/ פנטהאוז, נווה שאנן, תל אביב יפו",,,
25000,מאיר פיינשטיין 21,"בית פרטי/ קוטג', רמת אביב ג', תל אביב יפו",,,
5700,מורדי הגטאות 23,"דירה, יד אליהו, תל אביב יפו",,,
6000,יסוד המעלה 31,"דירה, נווה שאנן, תל אביב יפו",,,
9900,ויסוצקי 6,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",,,
12000,המרפא,"דירת גן, עג'מי, גבעת העליה, תל אביב יפו",,,
8000,אליהו בית צורי,"דירה, רמת אביב ג', תל אביב יפו",,,
11000,גרציאני יצחק,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",,,
17000,"הגוש הגדול, רמת אביב החדשה, נופי ים","דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",,,
14000,נחמני,"דירת גן, לב תל אביב, לב העיר צפון, תל אביב יפו",,,
9800,ויסוצקי,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",,,
11500,ליאונרדו דה וינצ'י,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",,,
7000,אלנבי,"דירה, כרם התימנים, תל אביב יפו",,,
25000,יבנה,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",,,
9800,ויסוצקי 8,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",,,
8699,כרם התימנים,"דירה, כרם התימנים, תל אביב יפו",,,
5250,כרמייה 25,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",,,
10000,רציף הרברט סמואל,"דירה, כרם התימנים, תל אביב יפו",,,
19000,שדרות לוי אשכול,"דירה, כוכב הצפון, תל אביב יפו",,,
11800,ישה חפץ,"דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",,,
9400,ויסוצקי,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",,,
17500,פרישמן,"דירה, הצפון הישן - דרום, תל אביב יפו",,,
4600,"ראב""ד","דירה, נווה שאנן, תל אביב יפו",,,
9500,החשמונאים,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",,,
7500,דוד אבידן 13,"דירה, המשתלה, תל אביב יפו",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
