מחיר,רחוב,אזור,"שטח במ""ר",קומה,כמות חדרים ,zone,city
"₪ 3,400",הרב קניאל 11,"דירה, מעונות גאולה, חיפה",80,‎3‏,3,,
"₪ 4,000",סמולנסקין 1,"גג/ פנטהאוז, אחוזה, חיפה",221,‎1‏,4.5,,
"₪ 3,299",נפתלי אימבר 9,"דירה, העיר התחתית, ואדי סאליב, חיפה",70,‎3‏,3,,
"₪ 3,600","מיכ""ל 5","דירה, אחוזה, חיפה",70,‎2‏,3,,
"₪ 4,900",משה שרת,"דו משפחתי, קרית חיים מזרחית, חיפה",130,‎קרקע‏,4,,
₪ 20,"צ'ק פוסט, מכון טיהור, מפרץ חיפה","מגרשים, צ'ק פוסט, מכון טיהור, מפרץ חיפה, חיפה",13500,‎קרקע‏,,,
"₪ 10,000",התשבי,"דירה, רמת התשבי, חיפה",200,‎קרקע‏,5,,
"₪ 2,800",מנחם 8,"דירה, הדר מרכז, חיפה",30,‎2‏,2,,
"₪ 5,200",כרמל צרפתי,"דירה, כרמל צרפתי, חיפה",100,‎1‏,4,,
"₪ 7,200","יציאת אירופה תש""ז 4","דירה, קרית שפרינצק, חיפה",130,‎3‏,5,,
"₪ 3,300",דירה,"דירה, חיפה",80,‎14‏,4,,
"₪ 3,500",הנאמנים,"דירה, שער פלמר, תחנת רכבת השמונה, חיפה",80,‎2‏,3.5,,
"₪ 2,800",דרך אלנבי 76,"דירת גן, המושבה הגרמנית, חיפה",40,‎4‏,1,,
"₪ 4,500",שדרות הציונות,"דירה, ואדי נסנאס, חיפה",120,‎1‏,3,,
₪ 1,בניין מגורים,"בניין מגורים, חיפה",3600,‎3‏,,,
"₪ 5,700",הגליל 133,"דירה, נווה שאנן, חיפה",110,‎קרקע‏,5,,
"₪ 2,400",פאר,"דירה, תל עמל, חיפה",50,‎2‏,2,,
"₪ 2,250",ביאליק,"דירה, שוק תלפיות, חיפה",25,‎2‏,1,,
"₪ 2,000",ארלוזורוב,"דירת גן, הדר מרכז, חיפה",45,‎2‏,2,,
"₪ 3,200",פבזנר,"דירה, הדר מרכז, חיפה",100,‎קרקע‏,3.5,,
"₪ 2,200",דירה,"דירה, חיפה",25,‎3‏,1.5,,
"₪ 3,200","צה""ל","דירה, קרית אליעזר, חיפה",60,‎1‏,2.5,,
"₪ 3,250",הפרטיזנים,"דירה, חיפה",70,‎2‏,3,,
"₪ 3,500",נתנזון 19,"דירה, חיפה",62,‎4‏,4,,
"₪ 2,200",יצחק בן צבי 56,"דירה, קרית חיים מזרחית, חיפה",45,‎1‏,2,,
"₪ 9,200",ימין אבות,"דירה, ירושלים",104,‎4‏,4.5,,
"₪ 6,700",דוד פלומבו,"דירה, בית הכרם, רמת בית הכרם, ירושלים",72,‎2‏,3,,
"₪ 9,000",נוף הרים,"דירה, בית הכרם, רמת בית הכרם, ירושלים",100,‎1‏,4,,
"₪ 6,700",דרך עזה 18,"דירה, רחביה, ירושלים",50,‎1‏,2,,
"₪ 12,000",דרך האחיות 29,"בית פרטי/ קוטג', עין כרם, ירושלים",150,‎2‏,6,,
"₪ 8,500",דרך חברון 59,"דירה, גבעת חנניה, אבו תור, ירושלים",110,‎קרקע‏,3,,
"₪ 16,000",מקור חיים 40,"גג/ פנטהאוז, מקור חיים, ירושלים",148,‎2‏,5,,
"₪ 3,000",הרב שמעון אגסי 27,"יחידת דיור, הר נוף, ירושלים",30,‎9‏,1.5,,
"₪ 8,500",בעל השאילתות 10,"דירה, גבעת שאול, ירושלים",120,‎1‏,4.5,,
"₪ 10,900",בית הערבה 33,"בית פרטי/ קוטג', ארנונה, ירושלים",145,‎2‏,4.5,,
"₪ 3,200",דרך בית לחם 129,"יחידת דיור, תלפיות, ירושלים",18,‎קרקע‏,1.5,,
"₪ 6,000",טשרניחובסקי 72,"דירת גן, גבעת הורדים, רסקו, ירושלים",57,‎1‏,2,,
"₪ 7,300",עמק רפאים 56,"דירה, המושבה היוונית, ירושלים",75,‎1‏,3,,
"₪ 7,600",יוספטל 11,"דירת גן, פסגת זאב, ירושלים",160,‎2‏,5.5,,
"₪ 3,000",פרופ' יעקב פולוצקי 16,"יחידת דיור, גילה, ירושלים",20,‎1‏,1,,
"₪ 9,600",שדרות הרצל 84,"דירה, בית הכרם, רמת בית הכרם, ירושלים",105,‎קרקע‏,4,,
"₪ 2,500",מרדכי אלקחי 30,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים",185,‎3‏,4,,
"₪ 6,950",יפו 65,"דירה, מרכז העיר, ירושלים",48,‎2‏,2,,
"₪ 4,500",אורוגואי 48,"דירת גן, קרית היובל, ירושלים",60,‎12‏,3,,
"₪ 10,000",גרשון אבנר 1,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים",128,‎1‏,5,,
"₪ 3,000",מיוחס 15,"דירה, מקור ברוך, ירושלים",25,‎5‏,1.5,,
"₪ 4,200",הנורית 25,"דירה, עיר גנים, ירושלים",34,‎1‏,2.5,,
"₪ 3,000",כיכר מגנס 4,"סטודיו/ לופט, רחביה, ירושלים",30,‎4‏,1,,
"₪ 9,000",נוף הרים,"דירה, בית הכרם, רמת בית הכרם, ירושלים",100,‎קרקע‏,4,,
"₪ 7,000",הגדוד העברי,"דירה, קטמון הישנה, ירושלים",84,‎1‏,3,,
"₪ 6,500",ארנונה,"דירה, ארנונה, ירושלים",90,‎1‏,3,,
"₪ 5,600",אליהו מני,"דירה, מקור ברוך, ירושלים",50,‎5‏,2,,
"₪ 11,500",דירה,"דירה, ירושלים",70,‎5‏,3,,
"₪ 35,000",המערבים,"בית פרטי/ קוטג', ירושלים",180,‎6‏,4,,
"₪ 5,900",קנאי הגליל 9,"דירה, קטמונים, ירושלים",55,‎קרקע‏,2,,
לא צוין מחיר,הלל,"בניין מגורים, ירושלים",2400,‎4‏,,,
"₪ 8,000",גנרל פייר קניג,"דירה, מקור חיים, ירושלים",85,‎קרקע‏,4,,
"₪ 18,500",הרב קוק 7,"דירה, מרכז העיר, ירושלים",190,‎4‏,4,,
"₪ 6,400",משה קול,"דירה, בית הכרם, רמת בית הכרם, ירושלים",50,‎6‏,2,,
"₪ 9,000",נוף הרים,"דירה, בית הכרם, רמת בית הכרם, ירושלים",100,‎2‏,4,,
"₪ 7,800",קרית משה,"דירה, קרית משה, ירושלים",80,‎1‏,3,,
"₪ 16,000",משה שרת,"בית פרטי/ קוטג', רמת שרת, ירושלים",200,‎2‏,6,,
"₪ 5,390","ארמון הנציב, תלפיות מזרח","דירה, ארמון הנציב, תלפיות מזרח, ירושלים",94,‎קרקע‏,4,,
"₪ 7,600",דהומיי,"דירה, ירושלים",111,‎1‏,4,,
"₪ 25,000",רבדים,"דו משפחתי, ארנונה, ירושלים",280,‎6‏,6,,
"₪ 7,500",דירה,"דירה, ירושלים",80,‎קרקע‏,4,,
"₪ 50,000","מלחה, מנחת","בית פרטי/ קוטג', מלחה, מנחת, ירושלים",750,‎4‏,6.5,,
"₪ 3,500",דירה,"דירה, ירושלים",23,‎1‏,1,,
"₪ 4,100",מבוא הצרי,"דירה, גילה, ירושלים",65,‎3‏,3,,
"₪ 6,850",דירה,"דירה, ירושלים",100,‎3‏,4,,
"₪ 10,800",אליהו קורן,"דירת גן, חומת שמואל, הר חומה, ירושלים",250,‎1‏,6,,
"₪ 6,800",חיים נחמן ביאליק 12,"דירה, בית הכרם, רמת בית הכרם, ירושלים",70,‎קרקע‏,3,,
"₪ 2,000",בוני החומה 5,"תיירות ונופש, הרובע היהודי, ירושלים",100,‎1‏,4.5,,
"₪ 5,500",מבוא המתמיד 16,"דירה, מרכז העיר, ירושלים",50,‎1‏,2,,
"₪ 6,800",זרובבל 1,"דירה, בקעה, ירושלים",36,‎5‏,2,,
"₪ 2,700",משעול הדקלים 14,"דירה, רמות, ירושלים",18,‎2‏,1,,
"₪ 6,000",ארנון 11,"דירה, מחנה יהודה - לב העיר, ירושלים",70,‎1‏,3,,
"₪ 7,690","רד""ק 24","בית פרטי/ קוטג', רחביה, ירושלים",100,‎2‏,3,,
"₪ 9,000",החלוץ 55,"דירה, בית הכרם, רמת בית הכרם, ירושלים",109,‎קרקע‏,5,,
₪ 900,הרב שך 30,"מחסן, רמת שלמה, ירושלים",20,‎1‏,1,,
"₪ 9,000",יהושע בן נון 34,"דירה, קטמון הישנה, ירושלים",105,‎קרקע‏,4,,
"₪ 6,500",הכרפס 5,"דירה, גילה, ירושלים",98,‎1‏,4,,
"₪ 8,200",כפר עציון 3,"דירת גן, תלפיות, ירושלים",230,‎4‏,4,,
"₪ 3,500",שמואל הנגיד 9,"סטודיו/ לופט, מרכז העיר, ירושלים",25,‎קרקע‏,1,,
"₪ 22,000",רמת הגולן 51,"דירת גן, רמת אשכול, ירושלים",320,‎3‏,8.5,,
"₪ 6,500",כפר עציון 29,"דירה, ארנונה, ירושלים",92,‎קרקע‏,3,,
"₪ 10,000",מקור חיים 54,"דירת גן, מקור חיים, ירושלים",80,‎5‏,3,,
"₪ 6,800",ברל לוקר 15,"דירה, פת, ירושלים",95,‎1‏,5,,
"₪ 8,500","הפלמ""ח 3","דירה, קטמון הישנה, ירושלים",88,‎4‏,3.5,,
"₪ 4,100",רפאל דה לה פרגולה 12,"יחידת דיור, גילה, ירושלים",70,‎1‏,3,,
"₪ 10,500",בלפור 21,"דירה, טלביה, קוממיות, ירושלים",115,‎קרקע‏,4,,
"₪ 5,900",קנאי הגליל,"דירה, קטמונים, ירושלים",45,‎קרקע‏,2,,
"₪ 3,400",קרית משה,"דירה, קרית משה, ירושלים",30,‎4‏,1.5,,
"₪ 14,310",שמואל לופו 6,"גג/ פנטהאוז, ירושלים",217,‎קרקע‏,6,,
"₪ 5,700",רבדים 31,"דירה, ארנונה, ירושלים",79,‎5‏,2.5,,
"₪ 11,500",הרב שלום שבזי,"דירה, נחלאות, שערי חסד, ירושלים",60,‎קרקע‏,3,,
"₪ 7,500",דוד פלומבו,"דירה, בית הכרם, רמת בית הכרם, ירושלים",80,‎2‏,3,,
"₪ 8,200",פנחס רוזן,"דירה, רמת שרת, ירושלים",130,‎1‏,4,,
"₪ 7,500",דירה,"דירה, ירושלים",80,‎5‏,4,,
"₪ 4,500",דרך בית לחם 121,"דירה, תלפיות, ירושלים",85,‎4‏,3.5,,
לא צוין מחיר,שדרות לוי אשכול,"דירה, רמת אשכול, ירושלים",124,‎2‏,5,,
"₪ 7,500",אבא אבן,"דירה, קרית הלאום, ירושלים",86,‎5‏,3.5,,
"₪ 6,000",מקור חיים,"דירה, מקור חיים, ירושלים",68,‎5‏,3,,
"₪ 36,000",שדרות בן מיימון 1,"דירה, ירושלים",190,‎2‏,5,,
"₪ 5,900",המלך ג'ורג',"דירה, ירושלים",40,‎4‏,2,,
"₪ 7,200",אליהו מני,"גג/ פנטהאוז, ירושלים",60,‎קרקע‏,2.5,,
"₪ 13,000",המצור,"דירה, קטמון הישנה, ירושלים",110,‎6‏,4.5,,
"₪ 5,600",יפו 79,"דירה, מרכז העיר, ירושלים",57,‎1‏,2,,
"₪ 12,000","בית""ר","דירה, תלפיות, ירושלים",132,‎3‏,4,,
"₪ 12,400",מקור חיים,"דירה, מקור חיים, ירושלים",140,‎1‏,5,,
"₪ 9,000",דירת גן,"דירת גן, ירושלים",72,‎4‏,3,,
"₪ 5,700",משה יוסטמן 30,"דירה, גילה, ירושלים",80,‎קרקע‏,4,,
"₪ 1,850",גולומב,"דירה, באר שבע",50,‎4‏,2,,
"₪ 2,200","רחבת הרא""ש","דירה, שכונה י""א, באר שבע",48,‎1‏,2,,
"₪ 3,500",יצחק רגר 166,"דירה, שכונה ד', באר שבע",90,‎1‏,4,,
"₪ 2,400",יצחק רגר 197,"דירה, שכונה ד', באר שבע",95,‎3‏,4,,
"₪ 1,990",דרך מצדה 51,"יחידת דיור, שכונה ב', באר שבע",32,‎2‏,2,,
"₪ 5,300",קפריסין 38,"דירה, שכונה ה', באר שבע",126,‎1‏,5,,
"₪ 2,650",דרך מצדה 156,"דירה, שכונה ו', באר שבע",50,‎12‏,3,,
"₪ 2,350",משעול סוכות 12,"בית פרטי/ קוטג', שכונה ד', באר שבע",90,‎3‏,2,,
"₪ 2,800",דרך השלום 41,"יחידת דיור, שכונה ג', באר שבע",50,‎קרקע‏,3,,
"₪ 4,400",נחל משמר 1,"דירה, פארק הנחל, באר שבע",143,‎2‏,5,,
"₪ 1,800",משה שרת 10,"יחידת דיור, שכונה י""א, באר שבע",35,‎1‏,1.5,,
"₪ 2,800","הפלמ""ח 72","דירה, העיר העתיקה, רמב""ם, דרום, באר שבע",60,‎4‏,3,,
"₪ 4,650",נחל משמר 66,"דירה, פארק הנחל, באר שבע",166,‎2‏,5,,
"₪ 2,100",המעפילים 18,"דירה, שכונה ג', באר שבע",50,‎2‏,3,,
"₪ 2,400",הכנסת 25,"דירה, שכונה ד', באר שבע",60,‎1‏,4,,
"₪ 1,650",בכור שטרית 17,"יחידת דיור, שכונה י""א, באר שבע",30,‎3‏,1.5,,
"₪ 5,000",התקווה 12,"דירה, מרכז אזרחי, באר שבע",127,‎4‏,4,,
"₪ 5,000",יצחק שתל 22,"דירת גן, רמות, באר שבע",116,‎15‏,4,,
"₪ 5,000","י""א הספורטאים 28","דירה, סנטרל פארק / האצטדיון, באר שבע",150,‎קרקע‏,5,,
"₪ 6,500",שדרות דוד טוביהו 121,"דירה, שכונה ט', באר שבע",137,‎3‏,4,,
"₪ 1,700",חיים נחמן ביאליק 108,"דירה, שכונה א', באר שבע",29,‎26‏,2,,
"₪ 4,000",נחל חבר 5,"דירה, פארק הנחל, באר שבע",107,‎3‏,4,,
"₪ 4,200",נחל משמר 68,"דירה, פארק הנחל, באר שבע",138,‎1‏,5,,
"₪ 2,650",הנדיב 10,"דירת גן, שכונה ג', באר שבע",100,‎2‏,3,,
"₪ 2,650",הנדיב 10,"דירת גן, שכונה ג', באר שבע",100,‎קרקע‏,3,,
"₪ 2,800",בנימין מטודלה 4,"דירה, שכונה ד', באר שבע",100,‎קרקע‏,3,,
"₪ 2,200",דרך מצדה 121,"יחידת דיור, שכונה ב', באר שבע",37,‎3‏,2,,
"₪ 2,100","החיד""א 80","דירה, שכונה י""א, באר שבע",76,‎3‏,3,,
"₪ 3,300",רחבת שלומציון 8,"דירה, שכונה ו', באר שבע",93,‎3‏,4,,
"₪ 2,400",מבצע יואב 13,"יחידת דיור, שכונה ו', באר שבע",35,‎4‏,2,,
"₪ 5,200",נחל משמר 70,"דירת גן, פארק הנחל, באר שבע",279,‎1‏,5,,
"₪ 1,900",חיים נחמן ביאליק,"יחידת דיור, שכונה א', באר שבע",30,‎קרקע‏,2,,
"₪ 1,650",ז'בוטינסקי,"דירה, שכונה ג', באר שבע",45,‎3‏,2,,
"₪ 2,500",דרך המשחררים 75,"דירה, שכונה א', באר שבע",80,‎1‏,4,,
"₪ 2,200",חביבה רייק,"דירה, שכונה ג', באר שבע",47,‎4‏,2,,
"₪ 6,800",נחל יהל,"בית פרטי/ קוטג', פארק הנחל, באר שבע",340,‎3‏,7,,
"₪ 5,500",דירה,"דירה, באר שבע",122,‎קרקע‏,4,,
"₪ 6,500",נחל סער,"בית פרטי/ קוטג', פארק הנחל, באר שבע",280,‎2‏,6.5,,
"₪ 3,200","רחבת רד""ק 16","דירה, שכונה י""א, באר שבע",94,‎קרקע‏,4,,
"₪ 2,800",חביבה רייק,"דירה, שכונה ג', באר שבע",70,‎6‏,4,,
"₪ 3,799",דירה,"דירה, באר שבע",90,‎2‏,3,,
"₪ 2,100",רינגלבלום,"דירה, שכונה ד', באר שבע",55,‎2‏,2,,
"₪ 2,200",דירה,"דירה, באר שבע",65,‎2‏,3,,
"₪ 2,800",דירה,"דירה, באר שבע",75,‎3‏,3,,
"₪ 5,000",גדעון האוזנר,"דירה, רמות הרכס, באר שבע",120,‎2‏,4,,
"₪ 4,900",תאשור,"דירה, נאות הדרים / המבואה הדרומית, באר שבע",200,‎4‏,5,,
"₪ 1,500",אביה השופט,"סטודיו/ לופט, שכונה ד', באר שבע",25,‎12‏,1,,
"₪ 6,500",שדרות דוד טוביהו 121,"דירה, שכונה ט', באר שבע",137,‎5‏,4,,
"₪ 1,700",חיים נחמן ביאליק 108,"דירה, שכונה א', באר שבע",29,‎26‏,2,,
"₪ 4,000",נחל חבר 5,"דירה, פארק הנחל, באר שבע",107,‎3‏,4,,
"₪ 4,200",נחל משמר 68,"דירה, פארק הנחל, באר שבע",138,‎1‏,5,,
"₪ 2,500",דרך מצדה 131,"יחידת דיור, שכונה ב', באר שבע",35,‎2‏,2,,
"₪ 2,700",דרך מצדה 54,"דירה, שכונה ד', באר שבע",45,‎3‏,3,,
"₪ 1,600",המעפילים 18,"דירה, שכונה ג', באר שבע",30,‎קרקע‏,2,,
"₪ 1,900",דרך השלום 85,"יחידת דיור, שכונה ג', באר שבע",30,‎1‏,2,,
"₪ 2,500",דרך השלום 95,"דירה, שכונה ג', באר שבע",85,‎קרקע‏,4,,
"₪ 6,500",נחל דליות 18,"גג/ פנטהאוז, פארק הנחל, באר שבע",343,‎1‏,6,,
"₪ 2,500",אחד העם 4,"יחידת דיור, שכונה א', באר שבע",40,‎4‏,2,,
"₪ 2,290",שדרות ירושלים 19,"דירה, שכונה ט', באר שבע",85,‎2‏,4,,
"₪ 2,500",דרך המשחררים 8,"דירה, שכונה ב', באר שבע",75,‎4‏,3,,
"₪ 2,300",יצחק שיפר 29,"דירה, שכונה ד', באר שבע",75,‎2‏,4,,
"₪ 2,700",חיים נחמן ביאליק 2,"דירה, שכונה ב', באר שבע",60,‎4‏,3,,
"₪ 4,900",נחל שילה 33,"דירת גן, פארק הנחל, באר שבע",370,‎4‏,4,,
"₪ 4,000",משה פריבס 24,"דירה, רמות הרכס, באר שבע",86,‎קרקע‏,4,,
"₪ 2,090",התלמוד 34,"דירה, שכונה ד', באר שבע",70,‎1‏,3,,
"₪ 1,800",שדרות יעלים 26,"דירה, שכונה ה', באר שבע",48,‎2‏,2,,
"₪ 2,100",משעול פארן 8,"דירת גן, שכונה ד', באר שבע",75,‎3‏,3,,
"₪ 2,650",הנדיב 10,"דירת גן, שכונה ג', באר שבע",100,‎1‏,3,,
"₪ 3,000",רחבת צפת,"דירה, שכונה ט', באר שבע",85,‎קרקע‏,3,,
"₪ 3,999",נחל פרת 24,"דירה, פארק הנחל, באר שבע",130,‎5‏,4,,
"₪ 4,500",נחל שילה,"דירה, פארק הנחל, באר שבע",124,‎5‏,5,,
"₪ 4,200",דירה,"דירה, באר שבע",100,‎4‏,5,,
"₪ 2,950",אוסוולדו ארניה,"דירה, באר שבע",58,‎2‏,3,,
"₪ 2,200",הכנסת 16,"דירה, שכונה ד', באר שבע",60,‎1‏,2.5,,
"₪ 2,350",מבצע יואב,"יחידת דיור, שכונה ו', באר שבע",45,‎3‏,2,,
"₪ 2,800",דירה,"דירה, באר שבע",60,‎2‏,4,,
"₪ 1,900",מבצע עובדה 12,"דירה, שכונה ו', באר שבע",40,‎1‏,2,,
"₪ 2,950",מבצע יואב 16,"דירה, שכונה ו', באר שבע",85,‎3‏,4,,
"₪ 2,300",בני אור 48,"יחידת דיור, שכונה ב', באר שבע",45,‎3‏,2,,
"₪ 3,500",יצחק רגר 166,"דירה, שכונה ד', באר שבע",90,‎1‏,4,,
"₪ 2,900",בנימין מטודלה,"בית פרטי/ קוטג', שכונה ד', באר שבע",200,‎3‏,3,,
"₪ 3,200",דרך המשחררים,"דירה, שכונה ה', באר שבע",100,‎קרקע‏,4.5,,
"₪ 2,000",טבנקין,"יחידת דיור, שכונה ה', באר שבע",40,‎2‏,2,,
"₪ 3,300",אברהם אבינו 10,"דירה, שכונה ד', באר שבע",75,‎2‏,4,,
"₪ 3,850",עוזי נרקיס 17,"דירה, רמות הרכס, באר שבע",101,‎קרקע‏,3,,
"₪ 2,800",דירה,"דירה, באר שבע",76,‎5‏,3,,
"₪ 1,600",המכתשים,"יחידת דיור, שכונה ד', באר שבע",35,‎3‏,1,,
"₪ 2,000",דוד המלך,"דירת גן, באר שבע",55,‎קרקע‏,3,,
